"","PC1","PC2","Samples","Sample_Type"
"1",-0.281301673896235,0.263857801878076,"IEV_1_1","IEV"
"2",-0.172443192206758,0.259846481922151,"IEV_1_2","IEV"
"3",-0.223236690748849,0.201336619463611,"IEV_10_1","IEV"
"4",-0.152749390263624,0.200144036835058,"IEV_10_2","IEV"
"5",-0.143457144222468,0.0172897659449453,"SEV_4_1","SEV"
"6",0.0211084507502546,0.0544006277752717,"SEV_4_2","SEV"
"7",-0.104466840956139,-0.545786153961819,"SEV_12_1","SEV"
"8",-0.241612077574071,-0.670962777699768,"SEV_12_2","SEV"
"9",0.385907308862709,0.0698762929562665,"FEV_7_1","FEV"
"10",0.223318384610762,0.0932383333764873,"FEV_7_2","FEV"
"11",0.565960365339252,-0.0573404798678268,"FEV_17_1","FEV"
"12",0.408806824696596,-0.0411531148420236,"FEV_17_2","FEV"
"13",-0.126033085387467,0.0903460492160408,"Parental1","Parental"
"14",-0.159801239003959,0.064906517003533,"Parental2","Parental"
